Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Соболівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Томашпільська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Томашпільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Вапнярська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Вапнярська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Тростянецька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Тростянецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Тульчинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Тульчинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,11
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,12
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Тиврівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Тиврівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,10
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
