Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Закарпатська,Вільховецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Харківська,Дергачівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Черкаська,Дмитрушківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Заболотцівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Київська,Іванківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Канівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Тернопільська,Козлівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Запорізька,Комиш-Зорянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Івано-Франківська,Косівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Коцюбинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Харківська,Краснокутська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Харківська,Куп’янська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Хмельницька,Летичівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Дніпропетровська,Личківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Луцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Харківська,Люботинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Рівненська,Млинівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Мостівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Новосанжарська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Сумська,Новослобідська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Закарпатська,Оноківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Полтавська,Оржицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Львівська,Радехівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Ржищівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Черкаська,Сагунівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Харківська,Сахновщинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Присиваська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Херсонська,Скадовська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернівецька,Сокирянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Станично-Луганська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Степанецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Степанківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Хмельницька,Теофіпольська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Донецька,Торецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Турійська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Кіровоградська,Устинівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Фастівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Харківська,Харківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Закарпатська,Хустська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Хмельницька,Шепетівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Миколаївська,Южноукраїнська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Білопільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Хмельницька,Ганнопільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Глевахівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Сумська,Есманьська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Запорізька,Кирилівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Чернігівська,Коропська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Тернопільська,Скала-Подільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Славська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Харківська,Старовірівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Дніпропетровська,Вакулівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Драбівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Закарпатська,Зарічанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Сумська,Липоводолинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Дніпропетровська,Марганецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Нікольська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Теплодарська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Тернопільська,Збаразька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Тернопільська,Борщівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Івано-Франківська,Витвицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Глухівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Закарпатська,Горондівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Тернопільська,Заліщицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Тернопільська,Золотниківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Таїровська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Кам’янопотоківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Сумська,Кролевецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Івано-Франківська,Лисецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Тернопільська,Монастириська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Новороздільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Київська,Славутицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Закарпатська,Чинадіївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Житомирська,Чуднівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Запорізька,Біленьківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Тернопільська,Білецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Братська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Тернопільська,Васильковецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Тернопільська,Мельнице-Подільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Мурованокуриловецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Одеська,Окнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Таращанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Тернопільська,Тернопільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Одеська,Арцизька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Бібрська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Тернопільська,Великогаївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Визирська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Рівненська,Висоцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Жданівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Запорізька,Вільнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Івано-Франківська,Делятинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Зеленопідська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Сумська,Кириківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Житомирська,Коростишівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Одеська,Красносільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Харківська,Лозівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Любешівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Медвинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Львівська,Меденицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Рівненська,Мирогощанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Львівська,Мостиська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Чернігівська,Ніжинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Ольшанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Запорізька,Оріхівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
